taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,Phylum,Class,Order,Family,Genus,Species,High Quality,Is Public,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Geographic Location,Habitat,Isolation Country,Genome Size  * assembled,Gene Count  * assembled,Genome,...27,Name,Name2,Genome_name,GH_total_abundance,ABC_total_abundance,ABC_GH_ratio
8052122714,Bacteria,Permanent Draft,Genome sequencing of Bacillus velezensis strains,Bacillus velezensis AP194,Auburn University,8052122714,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae,g__Bacillus,s__Bacillus velezensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,USA,3989402,4064,Bacillus,NA,velezensis,Bacillus velezensis,Bacillus velezensis,15,50,3.3333333333333335
3006619106,Bacteria,Permanent Draft,Streptomyces sp. 130 genome sequencing,Streptomyces sp. 130,"Microbial Technology Lab, Acharya Narendra Dev College, University of Delhi",3006619106,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptomyces,s__Streptomyces sp007096885,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,India: Faridabad,NA,India,7140426,6479,Streptomyces,NA,sp.,Streptomyces sp.,Streptomyces sp.,24,45,1.875
8076503094,Bacteria,Permanent Draft,Shinella sp. CPCC 101442 genome sequencing,Shinella sp. CPCC 101442,Institute of Medicinal Biotechnology Chinese Academy of Medical Sciences,8076503094,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Rhizobiaceae,g__Shinella,s__Shinella sp024704725,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"China: Yunnan, Erhai lake",NA,China,6129101,5933,Shinella,NA,sp.,Shinella sp.,Shinella sp.,11,51,4.636363636363637
2999178367,Bacteria,Permanent Draft,Genome sequencing to further insight into bacterial adaptation of environment and study on the phylogeny of them,Sabulicella rubraurantiaca SYSU D01096,Sun Yat-Sen University,2999178367,p__Pseudomonadota,c__Alphaproteobacteria,o__Acetobacterales,Acetobacteraceae,g__Roseococcus,s__Roseococcus rubraurantiacus,Yes,Yes,Environmental,Terrestrial,Desert,Soil,Unclassified,China: Xinjiang,NA,China,5017681,4968,Sabulicella,NA,rubraurantiaca,Sabulicella rubraurantiaca,Sabulicella rubraurantiaca,9,7,0.7777777777777778
2773857892,Bacteria,Finished,Genome sequencing of Sutcliffiella cohnii DSM 6307,Sutcliffiella cohnii DSM 6307,Kyungpook National University,2773857892,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae_I,g__Sutcliffiella,s__Sutcliffiella cohnii,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,NA,4899141,5066,Sutcliffiella,NA,cohnii,Sutcliffiella cohnii,Sutcliffiella cohnii,6,39,6.5
2834527210,Bacteria,Permanent Draft,Nitrosomonas supralitoralis APG5 genome sequencing,Nitrosomonas supralitoralis APG5,Florida Gulf Coast University,2834527210,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas supralitoralis,Yes,Yes,Environmental,Terrestrial,Sand,Soil,Unclassified,"USA: Seattle, Washington",NA,USA,3751701,3720,Nitrosomonas,NA,supralitoralis,Nitrosomonas supralitoralis,Nitrosomonas supralitoralis,7,1,0.14285714285714285
8052190759,Bacteria,Permanent Draft,Genome sequences of foodborne bacterial pathogens - FDA,Bacillus velezensis CFSAN034339,"Center for Food Safety and Applied Nutrition, FDA (FDA/CFSAN)",8052190759,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae,g__Bacillus,s__Bacillus velezensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Agricultural land,NA,NA,Canada,4209526,4401,Bacillus,NA,velezensis,Bacillus velezensis,Bacillus velezensis,15,48,3.2
2687453372,Bacteria,Finished,Sporosarcina psychrophila DSM 6497 genome sequencing,Sporosarcina psychrophila DSM 6497,Shanghai Jiao Tong University,2687453372,p__Bacillota,c__Bacilli,o__Bacillales_A,Planococcaceae,g__Sporosarcina,s__Sporosarcina psychrophila,Yes,Yes,Environmental,Terrestrial,Garden,Soil,Unclassified,NA,NA,NA,4674191,4607,Sporosarcina,NA,psychrophila,Sporosarcina psychrophila,Sporosarcina psychrophila,8,38,4.75
647533234,Bacteria,Permanent Draft,Streptomyces sp. SPB74,Streptomyces sp. SPB74,Broad Institute,647533234,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptomyces,s__Streptomyces sp000154905,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,Soil,NA,6970553,5808,Streptomyces,NA,sp.,Streptomyces sp.,Streptomyces sp.,18,37,2.0555555555555554
2893000265,Bacteria,Permanent Draft,Sphingosinicella sp. YJ22 genome sequencing,Sphingosinicella sp. YJ22,Institute of Microbial Ecology and Resources,2893000265,p__Pseudomonadota,c__Alphaproteobacteria,o__Sphingomonadales,Sphingomonadaceae,g__Allosphingosinicella,s__Allosphingosinicella sp011320075,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"South Korea: Shinnan, Bigeum island",NA,South Korea,2974857,3149,Sphingosinicella,NA,sp.,Sphingosinicella sp.,Sphingosinicella sp.,4,1,0.25
2977837220,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B2-5-8,Curtin University,2977837220,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Rhizobiaceae,g__Mesorhizobium,s__Mesorhizobium sp006442685,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: WA, Badgingarra",NA,Australia,6550961,6487,Mesorhizobium,NA,sp.,Mesorhizobium sp.,Mesorhizobium sp.,11,57,5.181818181818182
8056400799,Bacteria,Permanent Draft,Pedobacter polysacchareus ZS13-49 genome sequencing,Pedobacter polysacchareus ZS13-49,Ocean University of China,8056400799,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,Sphingobacteriaceae,g__Pedobacter,s__Pedobacter polysacchareus,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Antarctica,NA,Antarctica,5831107,4995,Pedobacter,NA,polysacchareus,Pedobacter polysacchareus,Pedobacter polysacchareus,18,5,0.2777777777777778
8038475209,Bacteria,Permanent Draft,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia territorii MSMB1840WGS,Northern Arizona University,8038475209,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia territorii,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Tanami East, Northern Territory",NA,Australia,6791740,6235,Burkholderia,NA,territorii,Burkholderia territorii,Burkholderia territorii,12,35,2.9166666666666665
2754412364,Bacteria,Permanent Draft,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia savannae BDU18,Northern Arizona University,2754412364,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia savannae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Badu Island, Torres Strait",NA,Australia,7159541,6159,Burkholderia,NA,savannae,Burkholderia savannae,Burkholderia savannae,11,37,3.3636363636363638
3007799056,Bacteria,Permanent Draft,Genome Sequencing of Pseudomonas ullengensis UL070,Pseudomonas ullengensis UL070,Chungnam National University,3007799056,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E ullengensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea: Ulleung-gun,NA,South Korea,4626005,4295,Pseudomonas,NA,ullengensis,Pseudomonas ullengensis,Pseudomonas ullengensis,6,14,2.3333333333333335
2690316216,Bacteria,Permanent Draft,Genome sequencing of a diverse group of Burkholderia pseudomallei strains,Burkholderia pseudomallei TRF661,Wellcome Trust Sanger Institute,2690316216,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia mallei,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,NA,6965617,5790,Burkholderia,NA,pseudomallei,Burkholderia pseudomallei,Burkholderia pseudomallei,13,33,2.5384615384615383
8052038724,Bacteria,Permanent Draft,Bacillus thuringiensis genome sequencing,Bacillus wiedmannii BGSC 4BK1,Huazhong Agricultural University,8052038724,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae_G,g__Bacillus_A,s__Bacillus_A wiedmannii,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Spain,NA,Spain,5921110,6336,Bacillus,NA,wiedmannii,Bacillus wiedmannii,Bacillus wiedmannii,8,35,4.375
2767802261,Bacteria,Permanent Draft,Analysing Pseudmonas diversity in wheat fields in United Kingdom,Pseudomonas sp. 31 E 5,"JOHN INNES CENTRE, NORWICH, UK.",2767802261,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E asgharzadehiana,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,United Kingdom,5867213,5433,Pseudomonas,NA,sp.,Pseudomonas sp.,Pseudomonas sp.,7,43,6.142857142857143
2841781988,Bacteria,Finished,Lysobacter sp. TY2-98 genome sequencing,Lysobacter sp. TY2-98,Korea Research Institute of Bioscience and Biotechnology,2841781988,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Xanthomonadaceae,g__Cognatilysobacter,s__Cognatilysobacter sp003367355,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea,NA,South Korea,3156619,3064,Lysobacter,NA,sp.,Lysobacter sp.,Lysobacter sp.,5,2,0.4
8045650354,Bacteria,Finished,Flavobacterium bizetiae HJ-32-4 genome sequencing,Flavobacterium bizetiae HJ-32-4,Seoul National University,8045650354,p__Bacteroidota,c__Bacteroidia,o__Flavobacteriales,Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium bizetiae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea,Soil,South Korea,5745280,5039,Flavobacterium,NA,bizetiae,Flavobacterium bizetiae,Flavobacterium bizetiae,23,8,0.34782608695652173
2970805243,Bacteria,Permanent Draft,Stenotrophomonas maltophilia DF07 genome sequencing,Stenotrophomonas maltophilia DF07,University of Houston,2970805243,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas sepilia,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"USA: Texas, Channelview, Moncrief Park",NA,USA,4801842,4669,Stenotrophomonas,NA,maltophilia,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,9,15,1.6666666666666667
3004154435,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B2-3-4,Curtin University,3004154435,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Rhizobiaceae,g__Mesorhizobium,s__Mesorhizobium sp006442315,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: WA, Badgingarra",NA,Australia,6790279,6747,Mesorhizobium,NA,sp.,Mesorhizobium sp.,Mesorhizobium sp.,13,58,4.461538461538462
2868116264,Bacteria,Permanent Draft,Taxonomic study of Actinomadura sp. LMG 30035,Actinomadura fibrosa ERS3016534,Ghent University,2868116264,p__Actinomycetota,c__Actinomycetes,o__Streptosporangiales,Streptosporangiaceae,g__Spirillospora,s__Spirillospora fibrosa,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,NA,10915467,10333,Actinomadura,NA,fibrosa,Actinomadura fibrosa,Actinomadura fibrosa,22,41,1.8636363636363635
8062572089,Bacteria,Finished,Lichenihabitans sp. PAMC28606 genome sequencing,Lichenihabitans sp. PAMC28606,Korea University,8062572089,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Beijerinckiaceae,g__Lichenihabitans,s__Lichenihabitans psoromatis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Uganda,NA,Uganda,4231322,4042,Lichenihabitans,NA,sp.,Lichenihabitans sp.,Lichenihabitans sp.,8,35,4.375
2546825543,Bacteria,Permanent Draft,Burkholderia Environmental Isolates,Ralstonia CL21,"University of North Carolina, Chapel Hill",2546825543,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Ralstonia,s__Ralstonia sp000620465,No,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Clayton, NC",NA,USA,5101256,4752,Ralstonia,NA,CL21,Ralstonia CL21,Ralstonia CL21,5,29,5.8
2751186031,Bacteria,Permanent Draft,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia stagnalis MSMB810WGS,Northern Arizona University,2751186031,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia stagnalis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Tanami East, Northern Territory",NA,Australia,7560863,6830,Burkholderia,NA,stagnalis,Burkholderia stagnalis,Burkholderia stagnalis,9,36,4
8046774930,Bacteria,Finished,Pseudomonas kurunegalensis ANKC.G2 genome sequencing,Pseudomonas kurunegalensis ANKC.G2,The Independent Schools Foundation Academy,8046774930,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E monteilii,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Hong Kong: Sheung Wan,Soil,Hong Kong,6133480,5686,Pseudomonas,NA,kurunegalensis,Pseudomonas kurunegalensis,Pseudomonas kurunegalensis,7,17,2.4285714285714284
2899983920,Bacteria,Permanent Draft,Nocardioides sp. GY 10127 genome sequencing,Nocardioides sp. GY 10127,Guangxi University for Nationalities,2899983920,p__Actinomycetota,c__Actinomycetes,o__Propionibacteriales,Nocardioidaceae,g__Nocardioides,s__Nocardioides sp004919085,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Guangxi,NA,China,4408634,3998,Nocardioides,NA,sp.,Nocardioides sp.,Nocardioides sp.,12,23,1.9166666666666667
8065833170,Bacteria,Permanent Draft,Geomonas diazotrophica Red69 genome sequencing,Geomonas diazotrophica Red69,The University of Tokyo,8065833170,p__Desulfobacterota,c__Desulfuromonadia,o__Geobacterales,Geobacteraceae,g__Geomonas,s__Geomonas diazotrophica,Yes,Yes,Environmental,Terrestrial,Agricultural land,Soil,Unclassified,Japan,NA,Japan,4651047,4198,Geomonas,NA,diazotrophica,Geomonas diazotrophica,Geomonas diazotrophica,1,3,3
2808606828,Bacteria,Permanent Draft,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia ubonensis RF32-BP4,Northern Arizona University,2808606828,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia ubonensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Thailand: Ubon, Pibul",NA,Thailand,7715287,6923,Burkholderia,NA,ubonensis,Burkholderia ubonensis,Burkholderia ubonensis,11,40,3.6363636363636362
8079423137,Bacteria,Permanent Draft,Isoptericola sp. NEAU-Y5 genome sequencing,Isoptericola sp. NEAU-Y5,Northeast Agricultural University,8079423137,p__Actinomycetota,c__Actinomycetes,o__Actinomycetales,Cellulomonadaceae,g__Isoptericola,s__Isoptericola luteus,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Harbin,NA,China,3974819,3670,Isoptericola,NA,sp.,Isoptericola sp.,Isoptericola sp.,16,37,2.3125
2898923055,Bacteria,Permanent Draft,Genome sequencing of Brevundimonas intermedia B-10,Brevundimonas intermedia B-10,Universidad de La Frontera,2898923055,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,Caulobacteraceae,g__Brevundimonas,s__Brevundimonas intermedia_A,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Contaminated,Chile:Valle de Puchuncavi,NA,Chile,3343585,3357,Brevundimonas,NA,intermedia,Brevundimonas intermedia,Brevundimonas intermedia,15,11,0.7333333333333333
2920985080,Bacteria,Permanent Draft,Genome Sequencing of Mucilaginibacter sp. S1162,Mucilaginibacter sp. S1162,Chung-Ang Univiersity,2920985080,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,Sphingobacteriaceae,g__Mucilaginibacter,s__,No,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea,NA,South Korea,2472934,4160,Mucilaginibacter,NA,sp.,Mucilaginibacter sp.,Mucilaginibacter sp.,20,4,0.2
2894729216,Bacteria,Permanent Draft,Genome sequencing of Dyella sp. 4G-K06,Dyella monticola 4G-K06,Sun Yat-Sen University,2894729216,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Rhodanobacteraceae,g__Dyella_B,s__Dyella_B monticola,Yes,Yes,Environmental,Terrestrial,Temperate forest,Soil,Mineral soil,China:Guangdong Province,NA,China,4940170,4466,Dyella,NA,monticola,Dyella monticola,Dyella monticola,16,13,0.8125
8055207398,Bacteria,Permanent Draft,Salegentibacter sp. R32 genome sequencing,Luteimonas galliterrae SX5,Beijing Forestry University,8055207398,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Xanthomonadaceae,g__Luteimonas_C,s__Luteimonas_C galliterrae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China,NA,China,3599217,3287,Luteimonas,NA,galliterrae,Luteimonas galliterrae,Luteimonas galliterrae,10,10,1
8048099175,Bacteria,Permanent Draft,Streptomyces type strains genome sequencing,Streptomyces rubrisoli DSM 42083,Kasetsart University,8048099175,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptantibioticus,s__Streptantibioticus rubrisoli,Yes,Yes,Environmental,Terrestrial,NA,Soil,NA,NA,NA,China,7264851,6803,Streptomyces,NA,rubrisoli,Streptomyces rubrisoli,Streptomyces rubrisoli,18,33,1.8333333333333333
2867057555,Bacteria,Finished,Streptomyces sp. CMB-StM0423 Genome sequencing,Streptomyces sp. CMB-StM0423,University of Queensland,2867057555,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptomyces,s__Streptomyces sp002847285,Yes,Yes,Environmental,Terrestrial,Sand,Soil,Unclassified,"Australia: Queensland, Heron Island",NA,NA,8029398,6985,Streptomyces,NA,sp.,Streptomyces sp.,Streptomyces sp.,22,51,2.3181818181818183
8056911427,Bacteria,Permanent Draft,Microbulbifer zhoushanensis TT30 genome sequencing,Microbulbifer zhoushanensis TT30,"Second Institute of Oceanography, State Oceanic Administration",8056911427,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Cellvibrionaceae,g__Microbulbifer,s__Microbulbifer zhoushanensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Zhoushan,NA,China,4127908,3624,Microbulbifer,NA,zhoushanensis,Microbulbifer zhoushanensis,Microbulbifer zhoushanensis,10,7,0.7
3006611656,Bacteria,Permanent Draft,Streptomyces sp. R302 genome sequencing,Streptomyces sp. R302,Kyonggi University,3006611656,p__Actinomycetota,c__Actinomycetes,o__Streptomycetales,Streptomycetaceae,g__Streptomyces,s__Streptomyces sp012927245,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,South Korea: Suwon,NA,South Korea,7950470,7445,Streptomyces,NA,sp.,Streptomyces sp.,Streptomyces sp.,25,46,1.84
2868068591,Bacteria,Permanent Draft,Nocardia panacis YIM PH 21724 Genome sequencing,Nocardia panacis YIM PH 21724,Yunnan Institute of Microbiology,2868068591,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,Mycobacteriaceae,g__Nocardia,s__Nocardia panacis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China,NA,NA,7362956,7064,Nocardia,NA,panacis,Nocardia panacis,Nocardia panacis,12,23,1.9166666666666667
2885830285,Bacteria,Permanent Draft,Pseudomonas sp. HS-2 genome sequencing,Pseudomonas sp. HS-2,Dalian University of Technology,2885830285,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E sp002803095,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Dalian,NA,China,6368611,6347,Pseudomonas,NA,sp.,Pseudomonas sp.,Pseudomonas sp.,3,23,7.666666666666667
2894393038,Bacteria,Permanent Draft,Luteimonas wenzhouensis YD-1 genome sequencing,Luteimonas wenzhouensis YD-1,Nanjing Tech Unviersity,2894393038,p__Pseudomonadota,c__Gammaproteobacteria,o__Xanthomonadales,Xanthomonadaceae,g__Luteimonas,s__Luteimonas wenzhouensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,China: Nanjing,NA,China,3443522,3099,Luteimonas,NA,wenzhouensis,Luteimonas wenzhouensis,Luteimonas wenzhouensis,16,17,1.0625
2923088545,Bacteria,Finished,Genome Sequencing of Bacillus sp. PAMC28571,Bacillus sp. PAMC28571,Korea University,2923088545,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae,g__Bacillus,s__Bacillus safensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Antarctica,NA,Antarctica,3793123,3984,Bacillus,NA,sp.,Bacillus sp.,Bacillus sp.,16,56,3.5
